Ages,Gender,Height,Weight,Activity Level,Dietary Preference,BMI,Obesity Level,Goal
22,Female,168,55,Moderately Active,Vegetarian,19.49,healthy weight,mainten_weight
38,Male,185,100,Very Active,Omnivore,29.22,overweight,loss_weight
21,Female,158,50,Moderately Active,Vegan,20.03,healthy weight,mainten_weight
58,Female,163,75,Sedentary,Vegetarian,28.23,overweight,loss_weight
25,Female,165,58,Lightly Active,Omnivore,21.3,healthy weight,mainten_weight
38,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
62,Female,160,65,Sedentary,Vegetarian,25.39,overweight,loss_weight
28,Male,185,90,Very Active,Vegan,26.3,overweight,loss_weight
45,Female,170,70,Lightly Active,Vegan,24.22,healthy weight,mainten_weight
58,Male,175,80,Sedentary,Omnivore,26.12,overweight,loss_weight
32,Female,168,62,Moderately Active,Vegetarian,21.97,healthy weight,mainten_weight
70,Male,170,75,Lightly Active,Vegan,25.95,overweight,loss_weight
19,Female,163,55,Very Active,Omnivore,20.7,healthy weight,mainten_weight
55,Male,183,95,Sedentary,Vegetarian,28.37,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight
68,Female,160,70,Lightly Active,Omnivore,27.34,overweight,loss_weight
28,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
38,Female,170,75,Moderately Active,Vegan,25.95,overweight,loss_weight
58,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight
42,Female,168,60,Very Active,Vegetarian,21.26,healthy weight,mainten_weight
21,Male,190,100,Moderately Active,Vegan,27.7,overweight,loss_weight
62,Female,155,55,Sedentary,Vegan,22.89,healthy weight,mainten_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
58,Male,175,95,Lightly Active,Vegan,31.02,obese,loss_weight
40,Female,170,72,Moderately Active,Omnivore,24.91,healthy weight,mainten_weight
28,Male,185,90,Very Active,Vegan,26.3,overweight,loss_weight
62,Female,160,60,Sedentary,Omnivore,23.44,healthy weight,mainten_weight
35,Male,190,100,Very Active,Vegetarian,27.7,overweight,loss_weight
22,Female,168,55,Lightly Active,Vegan,19.49,healthy weight,mainten_weight
55,Male,178,85,Sedentary,Omnivore,26.83,overweight,loss_weight
48,Female,172,78,Moderately Active,Vegan,26.37,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
38,Female,165,68,Lightly Active,Vegetarian,24.98,healthy weight,mainten_weight
55,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight
62,Female,160,70,Lightly Active,Vegan,27.34,overweight,loss_weight
28,Male,190,90,Very Active,Omnivore,24.93,healthy weight,mainten_weight
40,Female,170,75,Moderately Active,Vegetarian,25.95,overweight,loss_weight
58,Male,170,80,Sedentary,Vegan,27.68,overweight,loss_weight
65,Female,155,65,Lightly Active,Omnivore,27.06,overweight,loss_weight
32,Male,185,100,Very Active,Omnivore,29.22,overweight,loss_weight
45,Female,168,72,Moderately Active,Vegan,25.51,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
48,Male,175,95,Very Active,Vegan,31.02,obese,loss_weight
55,Female,160,70,Lightly Active,Omnivore,27.34,overweight,loss_weight
28,Male,190,100,Moderately Active,Omnivore,27.7,overweight,loss_weight
62,Female,155,55,Sedentary,Vegan,22.89,healthy weight,mainten_weight
35,Male,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight
22,Female,168,58,Lightly Active,Omnivore,20.55,healthy weight,mainten_weight
58,Male,178,85,Moderately Active,Vegan,26.83,overweight,loss_weight
40,Female,172,78,Sedentary,Omnivore,26.37,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight
62,Female,160,65,Lightly Active,Vegan,25.39,overweight,loss_weight
38,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight
21,Female,168,55,Very Active,Vegan,19.49,healthy weight,mainten_weight
40,Male,190,110,Sedentary,Omnivore,30.47,obese,loss_weight
23,Female,172,68,Moderately Active,Vegetarian,22.99,healthy weight,mainten_weight
48,Male,178,80,Lightly Active,Vegan,25.25,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
48,Male,175,95,Very Active,Omnivore,31.02,obese,loss_weight
55,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
28,Male,190,90,Moderately Active,Omnivore,24.93,healthy weight,mainten_weight
62,Male,170,85,Lightly Active,Vegan,29.41,overweight,loss_weight
35,Female,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight
22,Female,160,55,Sedentary,Vegan,21.48,healthy weight,mainten_weight
40,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight
29,Female,175,85,Very Active,Vegetarian,27.76,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
38,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
62,Female,160,70,Moderately Active,Vegan,27.34,overweight,loss_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
42,Female,170,75,Lightly Active,Vegan,25.95,overweight,loss_weight
68,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight
22,Female,165,55,Very Active,Vegan,20.2,healthy weight,mainten_weight
35,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight
58,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight
25,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight
32,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
58,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
38,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
22,Female,170,60,Lightly Active,Vegan,20.76,healthy weight,mainten_weight
65,Male,175,85,Sedentary,Omnivore,27.76,overweight,loss_weight
40,Female,168,65,Moderately Active,Vegetarian,23.03,healthy weight,mainten_weight
28,Male,185,90,Very Active,Vegan,26.3,overweight,loss_weight
52,Female,158,62,Sedentary,Vegan,24.84,healthy weight,mainten_weight
35,Male,178,75,Moderately Active,Omnivore,23.67,healthy weight,mainten_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
35,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
40,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
28,Female,170,55,Lightly Active,Vegan,19.03,healthy weight,mainten_weight
62,Male,175,85,Moderately Active,Omnivore,27.76,overweight,loss_weight
32,Female,168,60,Very Active,Vegetarian,21.26,healthy weight,mainten_weight
21,Male,185,88,Sedentary,Vegan,25.71,overweight,loss_weight
48,Male,178,90,Moderately Active,Omnivore,28.41,overweight,loss_weight
38,Female,172,75,Lightly Active,Vegan,25.35,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
38,Female,165,62,Lightly Active,Vegan,22.77,healthy weight,mainten_weight
55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
28,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
62,Male,175,80,Lightly Active,Omnivore,26.12,overweight,loss_weight
32,Female,170,68,Moderately Active,Vegan,23.53,healthy weight,mainten_weight
21,Female,168,55,Sedentary,Vegan,19.49,healthy weight,mainten_weight
40,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
27,Female,172,75,Moderately Active,Vegetarian,25.35,overweight,loss_weight
19,Male,183,78,Lightly Active,Omnivore,23.29,healthy weight,mainten_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Lightly Active,Vegan,22.04,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
68,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
47,Male,168,115,Sedentary,Omnivore,40.75,severely obese,loss_weight
77,Male,161,106,Sedentary,Vegan,40.89,severely obese,loss_weight
51,Female,162,72,Moderately Active,Vegan,27.43,overweight,loss_weight
50,Female,188,61,Moderately Active,Vegetarian,17.26,underweight,gain_weight
77,Male,185,101,Moderately Active,Vegetarian,29.51,overweight,loss_weight
53,Male,196,62,Lightly Active,Vegetarian,16.14,underweight,gain_weight
79,Female,156,96,Sedentary,Vegan,39.45,obese,loss_weight
65,Female,169,59,Sedentary,Vegetarian,20.66,healthy weight,mainten_weight
25,Male,183,53,Sedentary,Vegetarian,15.83,underweight,gain_weight
39,Male,153,58,Moderately Active,Omnivore,24.78,healthy weight,mainten_weight
53,Female,194,60,Moderately Active,Vegan,15.94,underweight,gain_weight
42,Female,198,75,Moderately Active,Vegetarian,19.13,healthy weight,mainten_weight
74,Male,184,82,Moderately Active,Vegan,24.22,healthy weight,mainten_weight
72,Male,162,93,Sedentary,Vegan,35.44,obese,loss_weight
18,Female,192,112,Moderately Active,Vegan,30.38,obese,loss_weight
51,Male,199,62,Moderately Active,Pescatarian,15.66,underweight,gain_weight
70,Female,164,61,Very Active,Pescatarian,22.68,healthy weight,mainten_weight
53,Male,150,79,Sedentary,Pescatarian,35.11,obese,loss_weight
59,Female,180,97,Moderately Active,Pescatarian,29.94,overweight,loss_weight
46,Male,170,76,Sedentary,Vegan,26.3,overweight,loss_weight
34,Female,177,54,Sedentary,Pescatarian,17.24,underweight,gain_weight
44,Male,178,78,Sedentary,Pescatarian,24.62,healthy weight,mainten_weight
52,Male,169,101,Lightly Active,Vegan,35.36,obese,loss_weight
56,Female,169,57,Very Active,Vegan,19.96,healthy weight,mainten_weight
70,Male,166,54,Sedentary,Pescatarian,19.6,healthy weight,mainten_weight
72,Female,179,58,Moderately Active,Pescatarian,18.1,underweight,gain_weight
57,Male,163,111,Very Active,Vegan,41.78,severely obese,loss_weight
44,Female,190,107,Moderately Active,Vegetarian,29.64,overweight,loss_weight
70,Female,150,100,Moderately Active,Pescatarian,44.44,severely obese,loss_weight
38,Male,197,50,Sedentary,Pescatarian,12.88,underweight,gain_weight
51,Female,152,92,Sedentary,Vegetarian,39.82,obese,loss_weight
21,Female,183,86,Very Active,Pescatarian,25.68,overweight,loss_weight
52,Male,173,71,Moderately Active,Vegan,23.72,healthy weight,mainten_weight
40,Female,178,88,Sedentary,Pescatarian,27.77,overweight,loss_weight
61,Male,199,104,Very Active,Vegan,26.26,overweight,loss_weight
36,Male,171,81,Lightly Active,Vegan,27.7,overweight,loss_weight
70,Female,164,79,Very Active,Omnivore,29.37,overweight,loss_weight
20,Male,196,80,Lightly Active,Pescatarian,20.82,healthy weight,mainten_weight
36,Female,152,64,Lightly Active,Vegetarian,27.7,overweight,loss_weight
40,Male,187,81,Very Active,Pescatarian,23.16,healthy weight,mainten_weight
61,Female,167,96,Moderately Active,Omnivore,34.42,obese,loss_weight
77,Male,184,74,Very Active,Omnivore,21.86,healthy weight,mainten_weight
63,Female,177,113,Very Active,Vegan,36.07,obese,loss_weight
37,Male,154,78,Very Active,Omnivore,32.89,obese,loss_weight
41,Male,191,97,Moderately Active,Omnivore,26.59,overweight,loss_weight
69,Female,180,112,Very Active,Omnivore,34.57,obese,loss_weight
56,Female,177,56,Sedentary,Omnivore,17.87,underweight,gain_weight
74,Female,187,82,Moderately Active,Vegan,23.45,healthy weight,mainten_weight
25,Male,188,117,Very Active,Pescatarian,33.1,obese,loss_weight
44,Male,171,104,Moderately Active,Vegan,35.57,obese,loss_weight
69,Female,165,110,Lightly Active,Vegetarian,40.4,severely obese,loss_weight
26,Female,166,68,Moderately Active,Vegan,24.68,healthy weight,mainten_weight
26,Male,192,82,Lightly Active,Omnivore,22.24,healthy weight,mainten_weight
46,Female,188,50,Sedentary,Omnivore,14.15,underweight,gain_weight
61,Male,192,73,Moderately Active,Pescatarian,19.8,healthy weight,mainten_weight
31,Male,169,93,Very Active,Vegan,32.56,obese,loss_weight
78,Female,169,96,Lightly Active,Pescatarian,33.61,obese,loss_weight
21,Female,184,96,Sedentary,Omnivore,28.36,overweight,loss_weight
58,Male,154,110,Very Active,Pescatarian,46.38,severely obese,loss_weight
30,Female,166,92,Lightly Active,Vegan,33.39,obese,loss_weight
53,Male,187,119,Moderately Active,Vegan,34.03,obese,loss_weight
62,Male,170,117,Very Active,Vegan,40.48,severely obese,loss_weight
24,Female,163,105,Very Active,Omnivore,39.52,obese,loss_weight
58,Female,171,87,Lightly Active,Vegetarian,29.75,overweight,loss_weight
67,Female,172,115,Lightly Active,Omnivore,38.87,obese,loss_weight
48,Male,154,52,Moderately Active,Vegetarian,21.93,healthy weight,mainten_weight
29,Female,192,100,Moderately Active,Vegan,27.13,overweight,loss_weight
75,Male,189,88,Sedentary,Vegetarian,24.64,healthy weight,mainten_weight
26,Male,185,93,Lightly Active,Pescatarian,27.17,overweight,loss_weight
60,Female,191,95,Sedentary,Vegan,26.04,overweight,loss_weight
36,Female,192,107,Very Active,Pescatarian,29.03,overweight,loss_weight
69,Female,183,71,Moderately Active,Pescatarian,21.2,healthy weight,mainten_weight
66,Male,164,100,Sedentary,Vegetarian,37.18,obese,loss_weight
41,Male,167,58,Moderately Active,Pescatarian,20.8,healthy weight,mainten_weight
53,Female,189,111,Sedentary,Pescatarian,31.07,obese,loss_weight
45,Female,176,110,Lightly Active,Pescatarian,35.51,obese,loss_weight
24,Female,187,97,Sedentary,Vegetarian,27.74,overweight,loss_weight
32,Male,157,70,Very Active,Vegan,28.4,overweight,loss_weight
46,Female,159,116,Sedentary,Omnivore,45.88,severely obese,loss_weight
52,Female,179,98,Moderately Active,Vegetarian,30.59,obese,loss_weight
73,Male,191,98,Sedentary,Vegetarian,26.86,overweight,loss_weight
31,Male,158,89,Very Active,Vegan,35.65,obese,loss_weight
47,Female,164,77,Moderately Active,Pescatarian,28.63,overweight,loss_weight
42,Female,162,103,Moderately Active,Vegan,39.25,obese,loss_weight
53,Female,161,108,Lightly Active,Omnivore,41.67,severely obese,loss_weight
31,Female,176,91,Very Active,Omnivore,29.38,overweight,loss_weight
55,Female,198,75,Sedentary,Vegan,19.13,healthy weight,mainten_weight
47,Male,170,95,Moderately Active,Vegetarian,32.87,obese,loss_weight
45,Female,155,73,Lightly Active,Vegan,30.39,obese,loss_weight
38,Female,160,106,Sedentary,Vegan,41.41,severely obese,loss_weight
24,Female,188,77,Very Active,Vegan,21.79,healthy weight,mainten_weight
79,Male,158,102,Very Active,Pescatarian,40.86,severely obese,loss_weight
74,Female,194,110,Very Active,Vegan,29.23,overweight,loss_weight
20,Male,185,95,Very Active,Pescatarian,27.76,overweight,loss_weight
41,Male,193,61,Lightly Active,Vegetarian,16.38,underweight,gain_weight
37,Female,170,98,Sedentary,Pescatarian,33.91,obese,loss_weight
57,Male,198,87,Moderately Active,Vegetarian,22.19,healthy weight,mainten_weight
52,Female,187,104,Lightly Active,Omnivore,29.74,overweight,loss_weight
31,Female,186,113,Lightly Active,Omnivore,32.66,obese,loss_weight
33,Female,175,95,Very Active,Omnivore,31.02,obese,loss_weight
30,Female,163,78,Moderately Active,Vegetarian,29.36,overweight,loss_weight
43,Male,188,74,Moderately Active,Pescatarian,20.94,healthy weight,mainten_weight
66,Female,190,60,Sedentary,Vegetarian,16.62,underweight,gain_weight
19,Male,190,62,Lightly Active,Vegan,17.17,underweight,gain_weight
57,Male,154,97,Very Active,Pescatarian,40.9,severely obese,loss_weight
49,Male,157,112,Moderately Active,Pescatarian,45.44,severely obese,loss_weight
32,Female,158,57,Sedentary,Pescatarian,22.83,healthy weight,mainten_weight
33,Male,172,101,Lightly Active,Pescatarian,34.14,obese,loss_weight
73,Male,186,63,Very Active,Vegan,18.21,underweight,gain_weight
32,Male,170,107,Very Active,Omnivore,37.02,obese,loss_weight
66,Female,155,63,Sedentary,Pescatarian,26.22,overweight,loss_weight
66,Male,162,83,Very Active,Vegan,31.63,obese,loss_weight
29,Male,180,58,Lightly Active,Vegan,17.9,underweight,gain_weight
56,Female,183,71,Lightly Active,Omnivore,21.2,healthy weight,mainten_weight
23,Male,199,87,Very Active,Pescatarian,21.97,healthy weight,mainten_weight
49,Male,181,90,Lightly Active,Vegetarian,27.47,overweight,loss_weight
59,Male,163,111,Lightly Active,Pescatarian,41.78,severely obese,loss_weight
21,Male,172,98,Sedentary,Vegetarian,33.13,obese,loss_weight
41,Female,161,86,Moderately Active,Vegan,33.18,obese,loss_weight
29,Female,169,77,Very Active,Vegetarian,26.96,overweight,loss_weight
65,Male,187,75,Moderately Active,Pescatarian,21.45,healthy weight,mainten_weight
51,Female,186,71,Lightly Active,Vegetarian,20.52,healthy weight,mainten_weight
64,Male,197,114,Lightly Active,Vegan,29.37,overweight,loss_weight
47,Male,198,96,Lightly Active,Vegan,24.49,healthy weight,mainten_weight
71,Female,199,119,Lightly Active,Pescatarian,30.05,obese,loss_weight
18,Female,197,96,Moderately Active,Pescatarian,24.74,healthy weight,mainten_weight
31,Male,187,70,Sedentary,Vegan,20.02,healthy weight,mainten_weight
68,Male,169,95,Lightly Active,Omnivore,33.26,obese,loss_weight
50,Female,198,71,Sedentary,Vegan,18.11,underweight,gain_weight
47,Female,179,60,Lightly Active,Pescatarian,18.73,healthy weight,mainten_weight
71,Male,191,68,Lightly Active,Pescatarian,18.64,healthy weight,mainten_weight
29,Female,181,82,Sedentary,Omnivore,25.03,overweight,loss_weight
53,Female,170,84,Sedentary,Pescatarian,29.07,overweight,loss_weight
65,Male,192,84,Moderately Active,Vegan,22.79,healthy weight,mainten_weight
39,Female,175,91,Sedentary,Pescatarian,29.71,overweight,loss_weight
33,Male,156,110,Sedentary,Pescatarian,45.2,severely obese,loss_weight
25,Male,192,90,Moderately Active,Omnivore,24.41,healthy weight,mainten_weight
46,Male,174,118,Moderately Active,Pescatarian,38.97,obese,loss_weight
72,Female,151,92,Moderately Active,Vegan,40.35,severely obese,loss_weight
30,Male,164,101,Sedentary,Vegan,37.55,obese,loss_weight
51,Male,178,63,Sedentary,Vegetarian,19.88,healthy weight,mainten_weight
34,Male,175,55,Moderately Active,Vegetarian,17.96,underweight,gain_weight
56,Female,197,93,Sedentary,Vegan,23.96,healthy weight,mainten_weight
43,Male,179,94,Moderately Active,Vegetarian,29.34,overweight,loss_weight
41,Female,176,75,Sedentary,Omnivore,24.21,healthy weight,mainten_weight
20,Female,192,57,Moderately Active,Pescatarian,15.46,underweight,gain_weight
57,Female,180,72,Sedentary,Vegan,22.22,healthy weight,mainten_weight
54,Male,171,57,Lightly Active,Vegan,19.49,healthy weight,mainten_weight
36,Male,196,102,Lightly Active,Omnivore,26.55,overweight,loss_weight
69,Female,197,112,Moderately Active,Omnivore,28.86,overweight,loss_weight
34,Female,176,116,Lightly Active,Vegetarian,37.45,obese,loss_weight
24,Female,183,118,Moderately Active,Omnivore,35.24,obese,loss_weight
32,Male,152,88,Sedentary,Vegan,38.09,obese,loss_weight
31,Female,199,93,Moderately Active,Omnivore,23.48,healthy weight,mainten_weight
77,Male,197,75,Moderately Active,Vegetarian,19.33,healthy weight,mainten_weight
29,Male,168,72,Lightly Active,Omnivore,25.51,overweight,loss_weight
61,Male,157,93,Moderately Active,Pescatarian,37.73,obese,loss_weight
34,Female,186,89,Very Active,Vegetarian,25.73,overweight,loss_weight
18,Female,190,119,Lightly Active,Vegan,32.96,obese,loss_weight
58,Female,182,79,Sedentary,Vegetarian,23.85,healthy weight,mainten_weight
28,Male,199,98,Sedentary,Vegan,24.75,healthy weight,mainten_weight
19,Male,198,86,Moderately Active,Vegetarian,21.94,healthy weight,mainten_weight
53,Female,182,77,Very Active,Vegan,23.25,healthy weight,mainten_weight
77,Female,165,90,Lightly Active,Vegan,33.06,obese,loss_weight
75,Male,184,87,Moderately Active,Omnivore,25.7,overweight,loss_weight
37,Female,164,97,Very Active,Pescatarian,36.06,obese,loss_weight
52,Female,152,67,Very Active,Pescatarian,29.0,overweight,loss_weight
37,Male,175,101,Very Active,Vegetarian,32.98,obese,loss_weight
22,Female,177,103,Moderately Active,Pescatarian,32.88,obese,loss_weight
27,Female,152,109,Sedentary,Vegan,47.18,severely obese,loss_weight
70,Male,198,56,Lightly Active,Vegan,14.28,underweight,gain_weight
50,Female,153,104,Very Active,Vegetarian,44.43,severely obese,loss_weight
39,Male,181,70,Moderately Active,Vegan,21.37,healthy weight,mainten_weight
25,Female,165,105,Lightly Active,Vegetarian,38.57,obese,loss_weight
70,Female,178,65,Lightly Active,Omnivore,20.52,healthy weight,mainten_weight
21,Female,159,68,Moderately Active,Vegan,26.9,overweight,loss_weight
78,Male,166,117,Lightly Active,Pescatarian,42.46,severely obese,loss_weight
30,Male,163,85,Lightly Active,Pescatarian,31.99,obese,loss_weight
32,Female,192,85,Lightly Active,Vegetarian,23.06,healthy weight,mainten_weight
52,Female,150,71,Sedentary,Pescatarian,31.56,obese,loss_weight
18,Male,152,92,Very Active,Omnivore,39.82,obese,loss_weight
22,Male,160,90,Very Active,Pescatarian,35.16,obese,loss_weight
58,Female,170,90,Moderately Active,Pescatarian,31.14,obese,loss_weight
52,Female,169,115,Very Active,Vegan,40.26,severely obese,loss_weight
38,Male,197,57,Very Active,Vegan,14.69,underweight,gain_weight
32,Male,193,108,Moderately Active,Omnivore,28.99,overweight,loss_weight
45,Female,153,90,Sedentary,Omnivore,38.45,obese,loss_weight
31,Male,198,66,Sedentary,Vegetarian,16.84,underweight,gain_weight
39,Male,193,75,Very Active,Pescatarian,20.13,healthy weight,mainten_weight
49,Male,193,91,Very Active,Omnivore,24.43,healthy weight,mainten_weight
22,Female,155,63,Very Active,Vegan,26.22,overweight,loss_weight
67,Female,198,91,Moderately Active,Vegetarian,23.21,healthy weight,mainten_weight
41,Male,168,111,Very Active,Omnivore,39.33,obese,loss_weight
61,Female,160,98,Moderately Active,Omnivore,38.28,obese,loss_weight
71,Female,179,115,Moderately Active,Omnivore,35.89,obese,loss_weight
22,Female,193,75,Very Active,Omnivore,20.13,healthy weight,mainten_weight
68,Male,196,63,Moderately Active,Vegetarian,16.4,underweight,gain_weight
31,Male,198,103,Sedentary,Vegan,26.27,overweight,loss_weight
42,Male,168,69,Lightly Active,Pescatarian,24.45,healthy weight,mainten_weight
71,Female,179,101,Lightly Active,Pescatarian,31.52,obese,loss_weight
31,Male,157,88,Lightly Active,Omnivore,35.7,obese,loss_weight
46,Female,168,69,Moderately Active,Vegetarian,24.45,healthy weight,mainten_weight
51,Male,176,79,Sedentary,Omnivore,25.5,overweight,loss_weight
41,Male,168,80,Sedentary,Vegetarian,28.34,overweight,loss_weight
76,Male,195,78,Moderately Active,Vegetarian,20.51,healthy weight,mainten_weight
43,Male,197,62,Moderately Active,Pescatarian,15.98,underweight,gain_weight
78,Female,198,100,Sedentary,Vegetarian,25.51,overweight,loss_weight
34,Female,182,115,Moderately Active,Pescatarian,34.72,obese,loss_weight
40,Female,159,65,Moderately Active,Omnivore,25.71,overweight,loss_weight
67,Male,179,94,Moderately Active,Vegetarian,29.34,overweight,loss_weight
23,Female,153,56,Sedentary,Vegan,23.92,healthy weight,mainten_weight
34,Male,152,68,Very Active,Vegetarian,29.43,overweight,loss_weight
32,Male,174,100,Moderately Active,Vegan,33.03,obese,loss_weight
28,Male,191,80,Lightly Active,Pescatarian,21.93,healthy weight,mainten_weight
48,Female,188,70,Lightly Active,Vegan,19.81,healthy weight,mainten_weight
58,Female,171,113,Sedentary,Vegan,38.64,obese,loss_weight
58,Male,162,61,Lightly Active,Vegetarian,23.24,healthy weight,mainten_weight
71,Male,192,50,Lightly Active,Vegetarian,13.56,underweight,gain_weight
42,Male,170,118,Moderately Active,Vegetarian,40.83,severely obese,loss_weight
52,Male,192,97,Sedentary,Vegetarian,26.31,overweight,loss_weight
58,Male,159,70,Sedentary,Omnivore,27.69,overweight,loss_weight
61,Male,151,51,Very Active,Omnivore,22.37,healthy weight,mainten_weight
26,Male,157,90,Lightly Active,Omnivore,36.51,obese,loss_weight
62,Male,192,110,Moderately Active,Vegetarian,29.84,overweight,loss_weight
24,Female,166,101,Very Active,Omnivore,36.65,obese,loss_weight
33,Female,164,91,Moderately Active,Pescatarian,33.83,obese,loss_weight
54,Male,195,98,Very Active,Omnivore,25.77,overweight,loss_weight
43,Male,184,63,Sedentary,Pescatarian,18.61,healthy weight,mainten_weight
33,Female,159,80,Lightly Active,Vegetarian,31.64,obese,loss_weight
32,Male,194,81,Lightly Active,Pescatarian,21.52,healthy weight,mainten_weight
54,Male,192,76,Sedentary,Pescatarian,20.62,healthy weight,mainten_weight
27,Male,160,52,Sedentary,Pescatarian,20.31,healthy weight,mainten_weight
59,Female,163,73,Sedentary,Vegetarian,27.48,overweight,loss_weight
29,Female,152,69,Very Active,Vegan,29.86,overweight,loss_weight
36,Male,151,100,Very Active,Vegetarian,43.86,severely obese,loss_weight
58,Female,159,59,Sedentary,Omnivore,23.34,healthy weight,mainten_weight
29,Female,170,67,Lightly Active,Vegetarian,23.18,healthy weight,mainten_weight
32,Female,199,63,Lightly Active,Vegan,15.91,underweight,gain_weight
60,Female,156,56,Very Active,Vegan,23.01,healthy weight,mainten_weight
51,Male,189,66,Moderately Active,Pescatarian,18.48,underweight,gain_weight
35,Female,192,85,Lightly Active,Vegetarian,23.06,healthy weight,mainten_weight
51,Male,161,84,Very Active,Vegetarian,32.41,obese,loss_weight
61,Male,195,91,Lightly Active,Vegetarian,23.93,healthy weight,mainten_weight
75,Male,163,91,Very Active,Pescatarian,34.25,obese,loss_weight
22,Female,168,117,Very Active,Pescatarian,41.45,severely obese,loss_weight
23,Male,178,76,Sedentary,Pescatarian,23.99,healthy weight,mainten_weight
61,Male,187,50,Very Active,Pescatarian,14.3,underweight,gain_weight
57,Male,165,109,Lightly Active,Vegan,40.04,severely obese,loss_weight
67,Male,158,57,Moderately Active,Pescatarian,22.83,healthy weight,mainten_weight
22,Male,179,54,Lightly Active,Omnivore,16.85,underweight,gain_weight
19,Female,199,64,Very Active,Pescatarian,16.16,underweight,gain_weight
56,Male,177,51,Sedentary,Pescatarian,16.28,underweight,gain_weight
71,Male,167,62,Sedentary,Vegetarian,22.23,healthy weight,mainten_weight
38,Male,192,105,Moderately Active,Vegan,28.48,overweight,loss_weight
47,Male,170,96,Lightly Active,Vegetarian,33.22,obese,loss_weight
34,Female,159,55,Lightly Active,Omnivore,21.76,healthy weight,mainten_weight
73,Male,187,77,Moderately Active,Pescatarian,22.02,healthy weight,mainten_weight
23,Female,190,89,Lightly Active,Vegan,24.65,healthy weight,mainten_weight
36,Male,168,69,Very Active,Omnivore,24.45,healthy weight,mainten_weight
23,Female,163,66,Moderately Active,Omnivore,24.84,healthy weight,mainten_weight
26,Female,190,88,Sedentary,Omnivore,24.38,healthy weight,mainten_weight
32,Female,181,117,Sedentary,Vegetarian,35.71,obese,loss_weight
53,Male,183,108,Lightly Active,Vegan,32.25,obese,loss_weight
46,Female,165,85,Moderately Active,Pescatarian,31.22,obese,loss_weight
48,Female,150,50,Very Active,Vegan,22.22,healthy weight,mainten_weight
62,Male,171,103,Sedentary,Pescatarian,35.22,obese,loss_weight
